Section,FBS,Virus,Host.cell,HA,P.Erk,S.phase.cnt
A - 1,None,Ctl,DUSP5 WT,27.66,47.338,49
A - 2,None,Ctl,DUSP5 KO,29.338,30.484,15
A - 3,None,Q61,DUSP5 WT,168.447,113.604,79
A - 4,None,Q61,DUSP5 KO,60.078,72.518,23
A - 5,None,V600F,DUSP5 WT,493.87,277.264,37
A - 6,None,V600F,DUSP5 KO,331.101,316.447,25
A - 7,None,Ctl,DUSP5 WT,32.868,31.112,41
A - 8,None,Ctl,DUSP5 KO,29.873,27.757,15
A - 9,None,Q61,DUSP5 WT,131.936,118.016,102
A - 10,None,Q61,DUSP5 KO,53.367,50.155,14
A - 11,None,V600F,DUSP5 WT,455.678,262.686,31
A - 12,None,V600F,DUSP5 KO,406.016,262.235,15
B - 1,None,Ctl,DUSP5 WT,28.336,27.649,42
B - 2,None,Ctl,DUSP5 KO,30.019,28.993,22
B - 3,None,Q61,DUSP5 WT,150.609,106.695,86
B - 4,None,Q61,DUSP5 KO,64.299,57.031,15
B - 5,None,V600F,DUSP5 WT,524.471,297.975,29
B - 6,None,V600F,DUSP5 KO,306.975,240.441,22
B - 7,None,Ctl,DUSP5 WT,29.32,29.693,49
B - 8,None,Ctl,DUSP5 KO,29.682,27.45,10
B - 9,None,Q61,DUSP5 WT,195.531,117.892,90
B - 10,None,Q61,DUSP5 KO,66.033,59.444,23
B - 11,None,V600F,DUSP5 WT,505.962,316.27,30
B - 12,None,V600F,DUSP5 KO,353.257,263.871,26
C - 1,None,Ctl,DUSP5 WT,30.127,31.087,58
C - 2,None,Ctl,DUSP5 KO,33.325,29.855,18
C - 3,None,Q61,DUSP5 WT,142.644,112.574,123
C - 4,None,Q61,DUSP5 KO,78.852,66.684,21
C - 5,None,V600F,DUSP5 WT,435.57,241.259,16
C - 6,None,V600F,DUSP5 KO,267.627,236.569,4
C - 7,None,Ctl,DUSP5 WT,31.226,32.096,33
C - 8,None,Ctl,DUSP5 KO,32.663,29.192,14
C - 9,None,Q61,DUSP5 WT,144.185,109.807,67
C - 10,None,Q61,DUSP5 KO,96.758,88.017,16
C - 11,None,V600F,DUSP5 WT,616.72,303.239,29
C - 12,None,V600F,DUSP5 KO,380.493,290.074,26
D - 1,None,Ctl,DUSP5 WT,30.447,29.638,56
D - 2,None,Ctl,DUSP5 KO,31.866,29.657,20
D - 3,None,Q61,DUSP5 WT,161.948,119.108,84
D - 4,None,Q61,DUSP5 KO,89.712,68.121,30
D - 5,None,V600F,DUSP5 WT,431.002,252.518,19
D - 6,None,V600F,DUSP5 KO,275.91,249.109,7
D - 7,None,Ctl,DUSP5 WT,29.091,26.802,43
D - 8,None,Ctl,DUSP5 KO,29.244,28.652,23
D - 9,None,Q61,DUSP5 WT,122.951,98.55,71
D - 10,None,Q61,DUSP5 KO,69.284,63.578,20
D - 11,None,V600F,DUSP5 WT,440.79,266.298,20
D - 12,None,V600F,DUSP5 KO,438.197,337.685,19
E - 1,10%,Ctl,DUSP5 WT,30.168,54.545,138
E - 2,10%,Ctl,DUSP5 KO,32.972,43.737,77
E - 3,10%,Q61,DUSP5 WT,225.338,157.429,150
E - 4,10%,Q61,DUSP5 KO,115.568,126.072,86
E - 5,10%,V600F,DUSP5 WT,673.705,350.624,131
E - 6,10%,V600F,DUSP5 KO,508.355,411.476,71
E - 7,10%,Ctl,DUSP5 WT,29.164,53.387,142
E - 8,10%,Ctl,DUSP5 KO,30.079,40.245,87
E - 9,10%,Q61,DUSP5 WT,252.287,153.76,137
E - 10,10%,Q61,DUSP5 KO,126.264,136.558,79
E - 11,10%,V600F,DUSP5 WT,637.024,344.249,107
E - 12,10%,V600F,DUSP5 KO,723.4,535.664,34
F - 1,10%,Ctl,DUSP5 WT,31.806,53.702,173
F - 2,10%,Ctl,DUSP5 KO,30.379,39.963,65
F - 3,10%,Q61,DUSP5 WT,273.557,171.884,172
F - 4,10%,Q61,DUSP5 KO,132.389,133.482,91
F - 5,10%,V600F,DUSP5 WT,670.637,355.759,155
F - 6,10%,V600F,DUSP5 KO,520.405,445.594,60
F - 7,10%,Ctl,DUSP5 WT,30.239,56.22,199
F - 8,10%,Ctl,DUSP5 KO,28.627,38.66,78
F - 9,10%,Q61,DUSP5 WT,261.134,175.499,141
F - 10,10%,Q61,DUSP5 KO,121.033,137.421,92
F - 11,10%,V600F,DUSP5 WT,628.796,353.833,119
F - 12,10%,V600F,DUSP5 KO,537.623,447.415,35
G - 1,10%,Ctl,DUSP5 WT,29.346,49.711,132
G - 2,10%,Ctl,DUSP5 KO,30.931,40.807,57
G - 3,10%,Q61,DUSP5 WT,260.277,169.106,136
G - 4,10%,Q61,DUSP5 KO,126.02,126.975,93
G - 5,10%,V600F,DUSP5 WT,614.065,344.07,156
G - 6,10%,V600F,DUSP5 KO,435.047,381.581,42
G - 7,10%,Ctl,DUSP5 WT,29.539,51.773,177
G - 8,10%,Ctl,DUSP5 KO,28.651,37.21,74
G - 9,10%,Q61,DUSP5 WT,298.679,195.389,171
G - 10,10%,Q61,DUSP5 KO,144.881,135.919,80
G - 11,10%,V600F,DUSP5 WT,646.115,360.751,120
G - 12,10%,V600F,DUSP5 KO,461.5,340.457,34
H - 1,10%,Ctl,DUSP5 WT,31.677,54.781,138
H - 2,10%,Ctl,DUSP5 KO,29.739,34.61,79
H - 3,10%,Q61,DUSP5 WT,224.928,157.768,148
H - 4,10%,Q61,DUSP5 KO,129.283,126.324,87
H - 5,10%,V600F,DUSP5 WT,633.087,335.451,120
H - 6,10%,V600F,DUSP5 KO,558.585,454.674,29
H - 7,10%,Ctl,DUSP5 WT,28.779,49.289,158
H - 8,10%,Ctl,DUSP5 KO,30.862,39.823,96
H - 9,10%,Q61,DUSP5 WT,306.724,171.76,164
H - 10,10%,Q61,DUSP5 KO,107.795,139.731,92
H - 11,10%,V600F,DUSP5 WT,583.22,312.733,87
H - 12,10%,V600F,DUSP5 KO,620.084,412.028,38
